control_id,screen,control,intended_behavior,implementation_target,persisted_data,required_permission,offline_behavior,error_behavior,verification_test,status
APP-001,Application shell,Loopback-only binding,"Implement Loopback-only binding with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-001 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-002,Application shell,Private authentication,"Implement Private authentication with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-002 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-003,Application shell,Server-owned session,"Implement Server-owned session with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-003 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-004,Application shell,CSRF defense,"Implement CSRF defense with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-004 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-005,Application shell,Origin and Host validation,"Implement Origin and Host validation with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-005 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-006,Application shell,First-run state,"Implement First-run state with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-006 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-007,Application shell,Nonempty synthetic starter,"Implement Nonempty synthetic starter with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-007 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-008,Application shell,Honest offline mode,"Implement Honest offline mode with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-008 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-009,Application shell,Route uniqueness,"Implement Route uniqueness with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-009 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-010,Application shell,Navigation integrity,"Implement Navigation integrity with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-010 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-011,Application shell,Visible build/readiness state,"Implement Visible build/readiness state with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-011 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
APP-012,Application shell,No styled no-op controls,"Implement No styled no-op controls with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned app service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise APP-012 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
AUTH-001,Authority and identity,Respiratory-care identity and local title are user-entered,"Implement Respiratory-care identity and local title are user-entered with truthful state, human ownership, least privilege and the Respiratory Care Professional no-patient-data boundary.",server-owned auth service plus accessible UI and executable test,minimum admitted local state and content-free receipt,P0 local,Works locally or shows an exact disabled/setup-required reason without simulation.,"Fail closed, preserve prior valid state, avoid unsafe retry, and show a content-free recovery receipt.","Exercise AUTH-001 end to end, restart where applicable, inspect persisted state and prove boundary/error behavior.",Not Run
