control_id,screen,control,intended_behavior,implementation_target,persisted_data,required_permission,offline_behavior,error_behavior,verification_test,status
APP-001,Application shell,Loopback-only binding,"`Loopback-only binding` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Loopback-only binding`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Loopback-only binding`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Loopback-only binding`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-001: exercise the valid `Loopback-only binding` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-002,Application shell,Private authentication and owner-only data paths,"`Private authentication and owner-only data paths` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Private authentication and owner-only data paths`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Private authentication and owner-only data paths`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Private authentication and owner-only data paths`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-002: exercise the valid `Private authentication and owner-only data paths` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-003,Application shell,Server-owned session,"`Server-owned session` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Server-owned session`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Server-owned session`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Server-owned session`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-003: exercise the valid `Server-owned session` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-004,Application shell,CSRF defense,"`CSRF defense` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `CSRF defense`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `CSRF defense`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `CSRF defense`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-004: exercise the valid `CSRF defense` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-005,Application shell,Origin and Host validation,"`Origin and Host validation` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Origin and Host validation`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Origin and Host validation`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Origin and Host validation`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-005: exercise the valid `Origin and Host validation` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-006,Application shell,First-run state,"`First-run state` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `First-run state`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `First-run state`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `First-run state`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-006: exercise the valid `First-run state` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-007,Application shell,Nonempty synthetic starter,"`Nonempty synthetic starter` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Nonempty synthetic starter`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Nonempty synthetic starter`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Nonempty synthetic starter`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-007: exercise the valid `Nonempty synthetic starter` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-008,Application shell,Honest offline mode,"`Honest offline mode` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Honest offline mode`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Honest offline mode`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Honest offline mode`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-008: exercise the valid `Honest offline mode` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-009,Application shell,Route uniqueness,"`Route uniqueness` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Route uniqueness`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Route uniqueness`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Route uniqueness`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-009: exercise the valid `Route uniqueness` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
APP-010,Application shell,Navigation integrity,"`Navigation integrity` must produce its named observable state under the ROUNDS Trust Shield; it grants no clinical, professional or institutional authority.",authenticated loopback application shell,For `Navigation integrity`: minimum configuration and content-free session/security receipt.,authenticated resident owner; no agent permission,"For `Navigation integrity`, execute the local path; if a genuine backend/source is required but absent, show that exact unavailable state and the manual route without simulation.","For `Navigation integrity`, fail closed with no unsafe retry, preserve or atomically restore the prior valid state, and emit only a content-free recovery receipt.","APP-010: exercise the valid `Navigation integrity` path and inspect its state; then run invalid Host/Origin/CSRF/session, second-instance, restart and offline fixture. Required result: request denied or prior valid state preserved; no unapproved listener, route or outbound call. Capture executable trace, state/database or zero-residue inspection, restart/replay result where applicable, and evidence path.",Not Run
