control_id,screen,control,intended_behavior,implementation_target,persisted_data,required_permission,offline_behavior,error_behavior,verification_test,status
"APP-001","Launcher","macOS launch","Verify prerequisites; initialize or migrate; start loopback server; open authenticated UI.","macOS launcher and bootstrap","Safe launch receipt and versions","Local device user","Fully available","Stop with recovery guidance; never change storage origin","Clean macOS package launch","required_not_implemented"
"APP-002","Launcher","Windows launch","Verify prerequisites; initialize or migrate; start loopback server; open authenticated UI.","Windows launcher and bootstrap","Safe launch receipt and versions","Local device user","Fully available","Stop with recovery guidance","Clean Windows package launch","required_not_implemented"
"APP-003","Launcher","Linux launch","Verify prerequisites; initialize or migrate; start loopback server; open authenticated UI.","Linux launcher and bootstrap","Safe launch receipt and versions","Local device user","Fully available","Stop with recovery guidance","Clean Linux package launch","required_not_implemented"
"APP-004","Server","Loopback binding","Bind to 127.0.0.1 by default and reject unsafe remote binding.","server bootstrap","Redacted bind receipt","Local device user","Fully available","Refuse unsafe startup","Loopback and remote-bind negative tests","required_not_implemented"
"APP-005","Server","Single instance","Prevent conflicting writers and explain lock or port conflicts.","instance coordinator","Instance and safe lock metadata","Local device user","Fully available","Do not start a second writer","Concurrent launch test","required_not_implemented"
"APP-006","About","Version consistency","Show identical app schema corpus manifest and health versions.","release metadata service","Application metadata","Authenticated owner","Fully available","Show integrity failure on mismatch","Version consistency test","required_not_implemented"
"AUTH-001","First run","Create local credential","Create a user-chosen credential with no default password.","auth bootstrap","Memory-hard verifier metadata","Local device owner","Fully available","Reject weak malformed or oversized input","Credential and no-default-secret tests","required_not_implemented"
"AUTH-002","Sign in","Authenticate","Issue an opaque rotating session after valid credential.","auth service","Hashed session metadata","Local owner","Fully available","Generic failure and rate limit","Valid invalid and rate-limit tests","required_not_implemented"
"AUTH-003","Session","Rotate and expire","Rotate identifiers and enforce idle and absolute expiry.","session middleware","Issue expiry rotation revocation","Authenticated owner","Fully available","Require reauthentication without data loss","Rotation expiry fixation tests","required_not_implemented"
"AUTH-004","All mutations","CSRF and origin","Require CSRF plus strict Origin and Host validation.","security middleware","Redacted rejection receipt","Authenticated owner","Fully available","Reject before mutation","CSRF Origin Host tests","required_not_implemented"
